fn,ln,gn,dob
WILLIAM,SMITH JR,F,01/03/68
WILLIAM,ROTHMEYER JR,F,01/03/68
WILLIAM,BLAND JR,F,21/02/62
WILLIAM,SHAFFER JR,F,21/02/62
WILLIAM,BLAND JR,F,08/06/54
WILLIAM,BLAND JR,F,25/10/53
WILLIAM,SHAFFER JR,F,25/10/53
THOMAS,DUNCAN JR,F,25/10/53
ROY,CARLSON JR,F,25/10/53
ROY,MICHAELSON,M,25/10/53
ROY,MICHAELSON JR,M,01/05/51
ROY,MICHAELSON JR,M,17/06/48
ROY,MICHAELSON JR,M,09/04/47
OWEN,MUSTAPHA JR,M,11/03/47
LAWRENCE,HOUGHTON JR,M,31/01/46
KENNETH,LIND JR,M,31/01/46
JOHN,LIND JR,M,20/01/46
JOHN,CLARK,M,09/06/45
RONALD,CLARK,M,09/02/45
JOHN,CLARK,M,16/12/44
JOHN,MICHAELSON JR,M,16/12/44
JOHN,MICHAELSON JR,M,24/04/40
JOHN,MICHAELSON JR,M,24/06/39
JACK,MICHAELSON JR,M,09/06/39
HAROLD,LARSON JR,M,09/06/39
HAROLD,MUSTAPHA JR,M,07/10/37
HAROLD,HOUGHTON JR,M,07/10/37
HAROLD,MELVIN JR,M,07/10/37
HAROLD,CHAVAS JR,M,07/10/37
HAROLD,SMITH JR,M,07/10/37
HAROLD,FAGEN JR,M,07/10/37
GEORGE,FAGEN JR,M,07/10/37
DARH,GRIFFIN JR,M,07/10/37
DARL,GRIFFIN JR,M,10/07/37
DARL,GRIFFIN JR,M,07/05/37
CLARENCE,GRIFFIN JR,M,07/05/37
ADDISON J,HANNA,M,24/11/34
ADDISON,GALETICH JR,M,15/10/32
HARRIET,FUNARO JONES,F,06/12/37
HARRIET,FUNARO J,F,06/12/37
